country,lat,lng
Japan,35.90807,139.65657
Japan,33.59017,130.4208
United States,38.89511,-77.03637
United States,38.89511,-77.03637
Indonesia,-6.343762,107.116146
United States,44.50024,-90.00041
United Kingdom,51.50853,-0.12574
Belgium,50.85045,4.34878
United States,38.88101,-77.10428
Nigeria,9.05785,7.49508
South Africa,-33.92584,18.42322
Spain,39.8626,4.21865
United Kingdom,51.384046,-0.223557
Thailand,13.75398,100.50144
United States,32.78306,-96.80667
United States,41.82399,-71.41283
Malaysia,3.8152,103.3237
United Arab Emirates,25.26426,55.29076
United States,39.95234,-75.16379
United Arab Emirates,25.273173,55.433324
Germany,52.52437,13.41053
Canada,44.67134,-63.57719
United States,33.54428,-84.23381
United States,40.27245,-76.90567
Canada,49.16638,-123.94003
United States,40.21705,-74.74294
Malaysia,2.196,102.2405
Kenya,1,38
United Kingdom,51.23536,-0.57427
Nigeria,9.05785,7.49508
United Kingdom,52.217833,-4.295125
Canada,43.90012,-78.84957
United States,40.77205,-73.93014
Canada,60.10867,-113.64258
Malaysia,5.8402,118.1179
United States,40.00032,-86.25027
Canada,48.43294,-123.3693
Turkey,41.046042,28.965942
Colombia,4.81333,-75.69611
Malaysia,2.5163,102.7421
United States,35.30754,-82.64521
Colombia,4.60971,-74.08175
Colombia,4.60971,-74.08175
Jamaica,17.99702,-76.79358
Argentina,-34.79675,-58.33434
United Arab Emirates,25.06765,55.30557
Kuwait,29.5,47.75
Russian Federation,46.34968,48.04076
Laos,17.96667,102.6
United States,43.0389,-87.90647
Argentina,-34.63333,-58.41667
Venezuela,8,-66
United States,41.85003,-87.65005
Australia,-27.408195,153.017571
United States,29.78579,-95.8244
United Kingdom,53.22683,-0.53792
United States,44.70832,-105.83501
Belgium,50.85045,4.34878
United States,39.00039,-75.49992
United States,35.20876,-111.64549
Canada,45.53081,-75.85567
United Kingdom,51.52332,-0.03888
Japan,35.6895,139.69171
Italy,43.838305,11.205906
Malaysia,3.8152,103.3237
United States,32.803129,-96.82686
United States,32.071842,-110.707008
United Kingdom,53.507345,-1.075699
Rwanda,-1.94995,30.05885
Kuwait,29.20192,48.048653
France,48.85341,2.3488
United States,28.51101,-80.80058
United States,39.95234,-75.16379
Puerto Rico,18.38078,-65.95739
Argentina,-54.95,-64.61667
United States,39.76,-98.5
Malaysia,2.25,102.25
Canada,49.8844,-97.14704
United Kingdom,51.50853,-0.12574
United States,38.89511,-77.03637
United States,38.89511,-77.03637
Libya,32.11486,20.06859
Senegal,16.01793,-16.48962
Malaysia,3.8152,103.3237
United States,39.25024,-111.75103
United Kingdom,51.50853,-0.12574
Poland,50.06143,19.93658
Russian Federation,50.5287,42.6747
South Africa,-29,24
United States,39.00039,-76.74997
France,48.85341,2.3488
United Kingdom,53.48095,-2.23743
Mexico,23,-102
South Africa,-26.20227,28.04363
United Kingdom,51.56667,0.08333
United States,32.71533,-117.15726
United States,42.37587,-82.93742
United Kingdom,52.9536,-1.15047
United States,41.25861,-95.93779
United States,41.56232,-72.65065
Belgium,50.83877,4.374954
Venezuela,10.44434,-67.96439
India,19.07283,72.88261
United States,39.00027,-105.50083
India,19.07283,72.88261
Taiwan,23.56033,119.5811
Canada,43.88342,-78.93287
United States,40.27245,-76.90567
United States,39.09973,-94.57857
United States,42.12753,-87.82895
United States,38.90956,-77.04331
Greece,37.97945,23.71622
Jamaica,17.99702,-76.79358
Canada,43.24378,-80.05567
United Kingdom,52.957341,-1.15178
United States,40.6501,-73.94958
United States,41.102494,-73.980988
Sweden,59.33258,18.0649
United States,39.83665,-105.0372
Thailand,13.69386,100.651053
Singapore,1.28034,103.85067
Haiti,18.58005,-72.29254
Malaysia,1.556734,110.359983
United States,26.82339,-80.13865
Canada,45.41117,-75.69812
United Kingdom,51.50853,-0.12574
United Kingdom,50.7236,-3.52751
United States,38.89511,-77.03637
India,12.97194,77.59369
Canada,52.28333,-117.469
Philippines,14.549721,121.055908
United Kingdom,51.26997,0.19278
United Kingdom,51.48,-3.18
Japan,34.69374,135.50218
Russian Federation,55.75222,37.61556
Turkey,38.41273,27.13838
United States,47.75427,-122.16346
United States,42.00833,-91.64407
Malaysia,3.8152,103.3237
Thailand,12.571193,99.956102
Turkey,39,35
Spain,43,-2.75
United States,41.40214,-74.30557
United States,38.89511,-77.03637
Canada,50.797258,-119.711151
Singapore,1.36917,103.84972
Guam,13.58283,144.83534
Malaysia,3.8152,103.3237
United States,41.78586,-88.14729
Oman,21,57
Malaysia,3.8152,103.3237
South Africa,-26.20227,28.04363
United States,36.15398,-95.99278
United Kingdom,52.9536,-1.15047
Hong Kong,22.28552,114.15769
United States,39.41012,-74.36459
United States,55.6435,-132.75879
Australia,-28.00029,153.43088
United States,41.85003,-87.65005
United States,40.71427,-74.00597
United Kingdom,54.75844,-2.69531
Russian Federation,65.51028,34.19139
United States,28.6,-81.33924
Canada,50.05006,-110.66834
United Kingdom,51.50853,-0.12574
United States,27.33643,-82.53065
United States,40.21705,-74.74294
United States,41.66704,-72.66648
Canada,49.199661,-122.980643
United States,38.89511,-77.03637
United States,40.71427,-74.00597
United States,37.25022,-119.75126
United States,32.78306,-96.80667
Malaysia,6.12104,100.36014
United Kingdom,51.50853,-0.12574
United States,40.83399,-74.09709
United States,37.77493,-122.41942
United States,42.44,-75.59667
United Kingdom,55.95206,-3.19648
United States,41.61422,-81.14899
Canada,45.50884,-73.58781
United States,42.35843,-71.05977
United States,41.85003,-88.31257
United States,33.749,-84.38798
Turkey,40.983865,28.707344
United States,31.15076,-97.41158
Senegal,16.01793,-16.48962
United States,41.85003,-87.65005
Canada,43.54594,-80.25599
Turkey,36.465284,32.11962
United Kingdom,51.420254,-0.314196
Canada,48.43294,-123.3693
