country,pos,neg,ntrl,score
Burkina Faso,9.631514367780635,0.0,0.31069401186389145,9.942208379644526
Canada,7.966007290699764,0.4471972013903014,1.4398767033775637,9.85308119546763
Sri Lanka,6.680711533998062,0.1805597711891368,2.8889563390261888,9.750227644213387
United States,5.750172121839293,0.6511454130463804,3.161962125753223,9.563279660638896
Jamaica,4.9817008814116415,0.3558357772436887,4.09211143830242,9.42964809695775
United Arab Emirates,4.3100859820330255,0.40093823088679303,4.510555097476422,9.22157931039624
Turkey,4.161286188576476,1.040321547144119,3.814512339528436,9.016120075249031
Malaysia,4.085092583348688,1.1671693095281968,3.6960361468392895,8.948298039716175
Russian Federation,3.1840482169202855,0.48985357183389006,5.020999111297373,8.694900900051548
Colombia,3.193335695094611,0.870909735025803,4.499700297633316,8.56394572775373
Nigeria,2.947391994482643,0.9431654382344458,4.480035831613617,8.370593264330706
France,2.57114760687473,0.6949047586147918,4.933823786165022,8.199876151654545
India,2.6516860730723617,1.1730961429260216,4.203594512151578,8.028376728149961
Germany,2.4393389132626826,1.2196694566313413,4.146876152546561,7.805884522440585
Philippines,2.345599746841101,1.089028453890511,4.356113815562044,7.790742016293657
