country,pos,neg,ntrl,score
Indonesia,8.724235660207503,0.1313890912681853,1.0511127301454823,9.906737481621171
Jamaica,3.8713476447582345,0.0,5.2791104246703195,9.150458069428554
China,3.972373077609776,0.29424985760072414,4.855122650411948,9.121745585622449
Argentina,3.9549639800692007,0.45384832558171156,4.668154205983318,9.07696651163423
Colombia,3.063003935870744,0.3995222525048797,5.1937892825634355,8.65631547093906
Venezuela,3.111509361023349,1.037169787007783,4.296846260460816,8.445525408491948
Singapore,2.806728832040387,0.5908902804295552,5.022567383651219,8.420186496121161
Sweden,2.7083132633588876,0.5158691930207404,5.158691930207405,8.382874386587032
Japan,2.4397252937981633,0.43053975772908765,5.350994131775804,8.221259183303054
Canada,2.4753016010065667,0.6517805990816108,5.016513599673071,8.143595799761249
Switzerland,2.4163415968546187,0.5857797810556651,5.12557308423707,8.127694462147353
Nigeria,2.3338393947359943,0.5747514927334911,5.155346722700405,8.06393761016989
United States,2.369136583019576,0.7091533182232832,4.946432597756433,8.024722498999292
Netherlands,2.240110149859155,0.5169484961213435,5.255643043900325,8.012701689880824
Turkey,2.246214314287939,0.5517017614040551,5.2017594646668055,7.9996755403588
