country,lat,lng
United States,41.76371,-72.68509
Nigeria,10,8
Australia,-27.46794,153.02809
Australia,-33.86785,151.20732
United States,32.71533,-117.15726
Russian Federation,45.04484,38.97603
United States,28.53834,-81.37924
United Kingdom,50.82838,-0.13947
Saudi Arabia,25,45
India,30.25,79.25
Ukraine,49,32
India,22,79
United States,42.35843,-71.05977
United Kingdom,51.50853,-0.12574
United States,39.83665,-105.0372
United Kingdom,51.50853,-0.12574
Switzerland,47.11458,8.39021
Ukraine,49,32
Greece,37.97945,23.71622
Netherlands,51.44083,5.47778
United Kingdom,51.50853,-0.12574
United Kingdom,51.50853,-0.12574
Australia,-42.87936,147.32941
United States,42.8121,-85.7237
United Kingdom,56,-4
Ukraine,50.45466,30.5238
India,32.73569,74.86911
United Kingdom,53.09617,-2.30649
Ukraine,50.45466,30.5238
United Kingdom,51.50853,-0.12574
India,12.97194,77.59369
India,28.65381,77.22897
United States,39.96118,-82.99879
United States,41.97959,-87.90446
United Kingdom,51.50853,-0.12574
Italy,43.80995,11.2051
United Kingdom,51.50853,-0.12574
United Kingdom,51.50853,-0.12574
India,22,79
Egypt,27,30
United Kingdom,54.57623,-1.23483
New Zealand,-40.05548,175.77936
United States,32.71533,-117.15726
Guernsey,49.43331,-2.35622
Nigeria,10,8
Nigeria,9.05785,7.49508
United Kingdom,51.49937,-0.12846
Australia,-27.46794,153.02809
Kenya,-1.29331,36.882272
United States,39.96118,-82.99879
India,19.07283,72.88261
United States,40.71427,-74.00597
United States,39.96118,-82.99879
Australia,-32.92715,151.77647
Canada,60.10867,-113.64258
United Arab Emirates,25.09538,55.16171
India,22.56263,88.36304
United States,41.30815,-72.92816
United Kingdom,51.50853,-0.12574
Russian Federation,55.75222,37.61556
Nigeria,4.77742,7.0134
Uzbekistan,41.66667,63.83333
India,22,79
United Kingdom,51.50853,-0.12574
United States,41.08315,-73.92014
India,20.39324,78.13201
Ukraine,48.45,34.98333
Guernsey,49.43331,-2.35622
Antarctica,-78.63333,164.16667
Pakistan,30,70
Canada,45.41117,-75.69812
United Kingdom,56,-4
United Kingdom,54.95,-1.41667
India,22,79
Pakistan,33.72148,73.04329
United Kingdom,51.70037,-2.36133
Northern Mariana Islands,14.84871,145.57016
Ukraine,49,32
United Kingdom,51.50853,-0.12574
Philippines,14.73694,120.96083
India,22,79
United Kingdom,51.34194,1.34611
Philippines,14.73694,120.96083
India,26.4478,80.34627
Luxembourg,49.61167,6.13
United Kingdom,51.50853,-0.12574
United States,38.6833,-75.33954
India,22.42114,87.32257
United Kingdom,55.86515,-4.25763
United Kingdom,51.50853,-0.12574
Ukraine,49,32
France,48.85341,2.3488
Pakistan,24.9056,67.0822
United Kingdom,51.50853,-0.12574
Kenya,-1.28333,36.81667
Australia,-42.87936,147.32941
United Kingdom,53.7,-1.58333
India,28.4601,77.02635
Australia,-16.14922,136.18889
Pakistan,33.72148,73.04329
Pakistan,33.72148,73.04329
Pakistan,33.72148,73.04329
Pakistan,33.72148,73.04329
Pakistan,33.72148,73.04329
Pakistan,33.72148,73.04329
Pakistan,33.72148,73.04329
Pakistan,24.9056,67.0822
Pakistan,24.9056,67.0822
United States,38.96667,-94.6169
United Kingdom,53.79648,-1.54785
India,22,79
